system:index,id,latitude,longitude,longwave_radiation,pressure,shortwave_radiation,specific_humidity,temperature,time_convert,time,total_precipitation,wind_u,wind_v,windspeed,.geo
13,A20211001_1300,44.20721803,-122.1194501,269.82,92547.54,0,0.0073462,9.57,10/1/21 13:00,1.63E+12,0,-1.65,-3.25,3.644859394,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,A20211001_1400,44.20721803,-122.1194501,269.84,92554.68,0,0.0069938,9.33,10/1/21 14:00,1.63E+12,0,-1.95,-3.26,3.798697145,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,A20211001_1500,44.20721803,-122.1194501,270.28,92562.36,135.939,0.0066414,9.08,10/1/21 15:00,1.63E+12,0,-2.26,-3.27,3.974984277,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,A20211001_1600,44.20721803,-122.1194501,270.21,92564.44,284.678,0.0066605,11.37003906,10/1/21 16:00,1.63E+12,0,-2.33,-3.24,3.990801924,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,A20211001_1700,44.20721803,-122.1194501,270.13,92566.42,411.983,0.0066799,13.66,10/1/21 17:00,1.63E+12,0,-2.39,-3.2,3.994008012,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,A20211001_1800,44.20721803,-122.1194501,297.87,92569.68,569.285,0.0066997,15.94,10/1/21 18:00,1.63E+12,0,-2.46,-3.17,4.012542835,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,A20211001_1900,44.20721803,-122.1194501,297.82,92520.16,652.657,0.0067298,17.48,10/1/21 19:00,1.63E+12,0,-2.12,-3.16,3.805259518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,A20211001_2000,44.20721803,-122.1194501,297.76,92470.64,684.649,0.00676,19.02,10/1/21 20:00,1.63E+12,0,-1.78,-3.15,3.618134879,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,A20211001_2100,44.20721803,-122.1194501,305.73,92421.76,667.17,0.0067905,20.56,10/1/21 21:00,1.63E+12,0,-1.44,-3.14,3.45444641,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,A20211001_2200,44.20721803,-122.1194501,305.73,92359.14,571.38,0.0067239,20.48,10/1/21 22:00,1.63E+12,0,-0.86,-3.77,3.86684626,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,A20211001_2300,44.20721803,-122.1194501,305.74,92297.16,444.288,0.0066572,20.39,10/1/21 23:00,1.63E+12,0,-0.29,-4.41,4.419524861,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,A20211002_0000,44.20721803,-122.1194501,275.73,92235.08,241.88,0.0065908,20.3,10/2/21 0:00,1.63E+12,0,0.29,-5.04,5.04833636,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,A20211002_0100,44.20721803,-122.1194501,275.82,92287.46,107.184,0.0061868,17.66,10/2/21 1:00,1.63E+12,0,0.19,-4.62,4.623905276,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,A20211002_0200,44.20721803,-122.1194501,275.91,92339.64,0,0.0057821,15.02,10/2/21 2:00,1.63E+12,0,0.08,-4.19,4.190763654,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,A20211002_0300,44.20721803,-122.1194501,256.9,92393.1,0,0.0053761,12.38,10/2/21 3:00,1.63E+12,0,-0.02,-3.77,3.77005305,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,A20211002_0400,44.20721803,-122.1194501,256.93,92440.76,0,0.0052969,11.53,10/2/21 4:00,1.63E+12,0,-0.55,-3.25,3.296209945,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,A20211002_0500,44.20721803,-122.1194501,256.95,92488.52,0,0.0052178,10.68,10/2/21 5:00,1.63E+12,0,-1.07,-2.72,2.922892403,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,A20211002_0600,44.20721803,-122.1194501,253.85,92536.28,0,0.0051384,9.83,10/2/21 6:00,1.63E+12,0,-1.6,-2.2,2.720294102,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,A20211002_0700,44.20721803,-122.1194501,253.85,92494.38,0,0.0050563,9.87,10/2/21 7:00,1.63E+12,0,-1.3,-1.82,2.236604569,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,A20211002_0800,44.20721803,-122.1194501,253.85,92451.94,0,0.0049739,9.92,10/2/21 8:00,1.63E+12,0,-1,-1.43,1.744964183,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,A20211002_0900,44.20721803,-122.1194501,251.97,92410.14,0,0.0048919,9.96,10/2/21 9:00,1.63E+12,0,-0.7,-1.05,1.261942946,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,A20211002_1000,44.20721803,-122.1194501,251.99,92411.76,0,0.0047927,9.51,10/2/21 10:00,1.63E+12,0,-0.95,-0.8,1.241974235,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,A20211002_1100,44.20721803,-122.1194501,252,92413.92,0,0.0046931,9.06,10/2/21 11:00,1.63E+12,0,-1.2,-0.54,1.315902732,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,A20211002_1200,44.20721803,-122.1194501,247.34,92416.18,0,0.0045939,8.62,10/2/21 12:00,1.63E+12,0,-1.45,-0.29,1.478715659,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,A20211002_1300,44.20721803,-122.1194501,247.33,92455.34,0,0.0047305,8.84,10/2/21 13:00,1.63E+12,0,-1.34,-0.51,1.433771251,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,A20211002_1400,44.20721803,-122.1194501,247.32,92494.94,0,0.0048671,9.05,10/2/21 14:00,1.63E+12,0,-1.22,-0.73,1.421724305,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,A20211002_1500,44.20721803,-122.1194501,262.54,92534.44,133.352,0.0050039,9.27,10/2/21 15:00,1.63E+12,0,-1.1,-0.95,1.453444185,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,A20211002_1600,44.20721803,-122.1194501,262.44,92502.59,282.736,0.0051256,12.21,10/2/21 16:00,1.63E+12,0,-0.97,-0.82,1.270157471,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,A20211002_1700,44.20721803,-122.1194501,262.35,92471.36,410.523,0.0052474,15.14003906,10/2/21 17:00,1.63E+12,0,-0.84,-0.7,1.093434955,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,A20211002_1800,44.20721803,-122.1194501,292.2,92440.59,566.261,0.0053689,18.07,10/2/21 18:00,1.63E+12,0,-0.71,-0.57,0.910494371,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,A20211002_1900,44.20721803,-122.1194501,292.15,92409.44,649.442,0.0052797,19.63,10/2/21 19:00,1.63E+12,0,-0.49,-1.41,1.492715646,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,A20211002_2000,44.20721803,-122.1194501,292.1,92378.84,681.158,0.0051904,21.19,10/2/21 20:00,1.63E+12,0,-0.27,-2.25,2.266142096,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,A20211002_2100,44.20721803,-122.1194501,300.92,92348.88,661.049,0.0051016,22.75003906,10/2/21 21:00,1.63E+12,0,-0.05,-3.08,3.080405817,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,A20211002_2200,44.20721803,-122.1194501,300.93,92260.78,565.354,0.0051008,22.5,10/2/21 22:00,1.63E+12,0,0.02,-3.45,3.450057971,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,A20211002_2300,44.20721803,-122.1194501,300.93,92172.68,438.416,0.0051,22.26,10/2/21 23:00,1.63E+12,0,0.09,-3.81,3.811062844,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,A20211003_0000,44.20721803,-122.1194501,290.29,92084.48,229.432,0.0050992,22.02,10/3/21 0:00,1.63E+12,0,0.16,-4.18,4.18306108,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,A20211003_0100,44.20721803,-122.1194501,290.38,92139.9,99.252,0.0050002,19.38,10/3/21 1:00,1.63E+12,0,0.22,-4.02,4.0260154,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,A20211003_0200,44.20721803,-122.1194501,290.47,92196.4,0,0.0049009,16.74003906,10/3/21 2:00,1.63E+12,0,0.28,-3.86,3.870142116,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,A20211003_0300,44.20721803,-122.1194501,278.58,92253.34,0,0.0048013,14.09,10/3/21 3:00,1.63E+12,0,0.35,-3.7,3.716517187,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,A20211003_0400,44.20721803,-122.1194501,278.59,92243.32,0,0.004783,13.77,10/3/21 4:00,1.63E+12,0,0.39,-3.38,3.402425605,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,A20211003_0500,44.20721803,-122.1194501,278.6,92233.95,0,0.0047648,13.44,10/3/21 5:00,1.63E+12,0,0.44,-3.05,3.081574273,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,A20211003_0600,44.20721803,-122.1194501,294.43,92224.56,0,0.0047465,13.12,10/3/21 6:00,1.63E+12,0,0.48,-2.72,2.76202824,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,A20211003_0700,44.20721803,-122.1194501,294.45,92241.82,0,0.0047557,12.68,10/3/21 7:00,1.63E+12,0,0.5,-2.63,2.677106647,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,A20211003_0800,44.20721803,-122.1194501,294.46,92258.44,0,0.0047653,12.24,10/3/21 8:00,1.63E+12,0,0.52,-2.54,2.592682009,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,A20211003_0900,44.20721803,-122.1194501,291.43,92275.7,0,0.0047748,11.8,10/3/21 9:00,1.63E+12,0,0.55,-2.45,2.510975906,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,A20211003_1000,44.20721803,-122.1194501,291.45,92246.53,0,0.00468,11.35,10/3/21 10:00,1.63E+12,0,-0.08,-2.07,2.071545317,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,A20211003_1100,44.20721803,-122.1194501,291.47,92217.98,0,0.0045847,10.89003906,10/3/21 11:00,1.63E+12,0,-0.71,-1.68,1.823869513,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,A20211003_1200,44.20721803,-122.1194501,279.01,92188.8,0,0.0044895,10.44,10/3/21 12:00,1.63E+12,0,-1.33,-1.3,1.859811818,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,A20211003_1300,44.20721803,-122.1194501,279,92235.62,0,0.0047599,10.63,10/3/21 13:00,1.63E+12,0,-1.2,-1.43,1.866788686,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,A20211003_1400,44.20721803,-122.1194501,278.98,92281.7,0,0.0050301,10.83,10/3/21 14:00,1.63E+12,0,-1.06,-1.56,1.886054082,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,A20211003_1500,44.20721803,-122.1194501,277.13,92328.32,127.398,0.0053001,11.02,10/3/21 15:00,1.63E+12,0,-0.92,-1.68,1.915411183,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,A20211003_1600,44.20721803,-122.1194501,277.05,92289.26,273.626,0.0053401,13.36,10/3/21 16:00,1.63E+12,0,-0.96,-1.8,2.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,A20211003_1700,44.20721803,-122.1194501,276.97,92250.1,398.599,0.0053804,15.71,10/3/21 17:00,1.63E+12,0,-1.01,-1.92,2.169446934,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,A20211003_1800,44.20721803,-122.1194501,301.63,92210.95,555.828,0.0054208,18.05,10/3/21 18:00,1.63E+12,0,-1.05,-2.04,2.294362657,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,A20211003_1900,44.20721803,-122.1194501,301.58,92155.94,637.734,0.0054713,19.45,10/3/21 19:00,1.63E+12,0,-0.92,-2.34,2.514358765,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,A20211003_2000,44.20721803,-122.1194501,301.53,92100.94,668.781,0.0055217,20.84003906,10/3/21 20:00,1.63E+12,0,-0.79,-2.65,2.765248633,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,A20211003_2100,44.20721803,-122.1194501,309.38,92046.58,648.489,0.0055721,22.23,10/3/21 21:00,1.63E+12,0,-0.65,-2.95,3.020761493,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,A20211003_2200,44.20721803,-122.1194501,309.37,91988.05,553.824,0.0056625,22.22,10/3/21 22:00,1.63E+12,0,-0.47,-3.3,3.333301667,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,A20211003_2300,44.20721803,-122.1194501,309.37,91930.14,428.288,0.0057527,22.22,10/3/21 23:00,1.63E+12,0,-0.28,-3.65,3.660723972,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,A20211004_0000,44.20721803,-122.1194501,294.99,91871.6,224.128,0.0058428,22.21,10/4/21 0:00,1.63E+12,0,-0.1,-4,4.001249805,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,A20211004_0100,44.20721803,-122.1194501,295.07,91858.55,94.512,0.0058738,19.69,10/4/21 1:00,1.63E+12,0,-0.01,-3.68,3.680013587,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,A20211004_0200,44.20721803,-122.1194501,295.15,91845.38,0,0.0059055,17.17,10/4/21 2:00,1.63E+12,0,0.08,-3.35,3.350955088,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,A20211004_0300,44.20721803,-122.1194501,274.2,91833.4,0,0.0059375,14.65,10/4/21 3:00,1.63E+12,0,0.17,-3.03,3.03476523,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,A20211004_0400,44.20721803,-122.1194501,274.22,91857.27,0,0.0058192,14.04003906,10/4/21 4:00,1.63E+12,0,-0.21,-2.55,2.558632447,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,A20211004_0500,44.20721803,-122.1194501,274.24,91881.02,0,0.0057006,13.43,10/4/21 5:00,1.63E+12,0,-0.59,-2.08,2.162059204,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,A20211004_0600,44.20721803,-122.1194501,266.16,91904.88,0,0.0055822,12.82,10/4/21 6:00,1.63E+12,0,-0.96,-1.6,1.865904606,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,A20211004_0700,44.20721803,-122.1194501,266.18,91900,0,0.0054775,12.42,10/4/21 7:00,1.63E+12,0,-0.82,-0.99,1.285496013,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,A20211004_0800,44.20721803,-122.1194501,266.19,91894.48,0,0.0053727,12.03,10/4/21 8:00,1.63E+12,0,-0.67,-0.38,0.770259696,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,A20211004_0900,44.20721803,-122.1194501,259.63,91889.6,0,0.0052682,11.63,10/4/21 9:00,1.63E+12,0,-0.53,0.24,0.581807528,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,A20211004_1000,44.20721803,-122.1194501,259.65,91832.16,0,0.0051993,11.02,10/4/21 10:00,1.63E+12,0,-0.43,0.39,0.580517011,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,A20211004_1100,44.20721803,-122.1194501,259.67,91774.08,0,0.0051306,10.41,10/4/21 11:00,1.63E+12,0,-0.34,0.55,0.646606526,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,A20211004_1200,44.20721803,-122.1194501,330.15,91716.54,0,0.0050616,9.81,10/4/21 12:00,1.63E+12,0,-0.24,0.71,0.749466477,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,A20211004_1300,44.20721803,-122.1194501,330.09,91674.36,0,0.0058292,10.61003906,10/4/21 13:00,1.63E+12,0,0.26,0.19,0.322024844,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,A20211004_1400,44.20721803,-122.1194501,330.04,91631.35,0,0.0065965,11.41,10/4/21 14:00,1.63E+12,0,0.76,-0.33,0.828552955,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,A20211004_1500,44.20721803,-122.1194501,348.78,91588.86,51.704,0.0073628,12.20003906,10/4/21 15:00,1.63E+12,0,1.27,-0.85,1.528201557,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,A20211004_1600,44.20721803,-122.1194501,348.72,91594.38,112.536,0.0074777,13.61,10/4/21 16:00,1.63E+12,0,0.86,-0.24,0.892860571,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,A20211004_1700,44.20721803,-122.1194501,348.66,91599.8,164.507,0.0075926,15.01,10/4/21 17:00,1.63E+12,0,0.44,0.38,0.581377674,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,A20211004_1800,44.20721803,-122.1194501,351.14,91605.23,321.125,0.0077073,16.41,10/4/21 18:00,1.63E+12,0,0.03,0.99,0.990454441,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,A20211004_1900,44.20721803,-122.1194501,351.08,91524.58,368.591,0.0075469,17.87,10/4/21 19:00,1.63E+12,0,0.37,0.78,0.863307593,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,A20211004_2000,44.20721803,-122.1194501,351.03,91443.4,386.474,0.0073872,19.33,10/4/21 20:00,1.63E+12,0,0.72,0.56,0.91214034,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,A20211004_2100,44.20721803,-122.1194501,332.76,91362.76,543.808,0.0072276,20.78,10/4/21 21:00,1.63E+12,0,1.06,0.35,1.116288493,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,A20211004_2200,44.20721803,-122.1194501,332.76,91321.1,463.76,0.0070307,21.01,10/4/21 22:00,1.63E+12,0,1.78,0.44,1.833575742,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,A20211004_2300,44.20721803,-122.1194501,332.75,91278.8,357.64,0.0068341,21.24,10/4/21 23:00,1.63E+12,0,2.49,0.53,2.545780823,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,A20211005_0000,44.20721803,-122.1194501,283.28,91236.4,232.392,0.0066374,21.47003906,10/5/21 0:00,1.63E+12,0,3.2,0.62,3.259509166,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,A20211005_0100,44.20721803,-122.1194501,283.37,91268,95.384,0.0064243,18.88,10/5/21 1:00,1.63E+12,0,3.35,0.75,3.432928779,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,A20211005_0200,44.20721803,-122.1194501,283.45,91300.15,0,0.0062106,16.29,10/5/21 2:00,1.63E+12,0,3.49,0.88,3.59923603,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,A20211005_0300,44.20721803,-122.1194501,262.06,91332.83,0,0.0059968,13.7,10/5/21 3:00,1.63E+12,0,3.64,1.02,3.780211634,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,A20211005_0400,44.20721803,-122.1194501,262.09,91287.53,0,0.0058953,12.65,10/5/21 4:00,1.63E+12,0,3.32,1.73,3.743701377,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,A20211005_0500,44.20721803,-122.1194501,262.13,91242.32,0,0.0057941,11.60003906,10/5/21 5:00,1.63E+12,0,3,2.44,3.866988492,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,A20211005_0600,44.20721803,-122.1194501,260.75,91197.66,0,0.0056925,10.55,10/5/21 6:00,1.63E+12,0,2.68,3.14,4.128195732,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,A20211005_0700,44.20721803,-122.1194501,260.77,91231.39,0,0.0055764,10.04,10/5/21 7:00,1.63E+12,0,2.35,3.41,4.141328289,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,A20211005_0800,44.20721803,-122.1194501,260.79,91265.74,0,0.0054605,9.53,10/5/21 8:00,1.63E+12,0,2.01,3.67,4.1843757,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,A20211005_0900,44.20721803,-122.1194501,259.52,91300.1,0,0.0053442,9.02,10/5/21 9:00,1.63E+12,0,1.67,3.93,4.270105385,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,A20211005_1000,44.20721803,-122.1194501,259.54,91279.08,0,0.0052249,8.56,10/5/21 10:00,1.63E+12,0,1.8,3.91,4.304427953,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,A20211005_1100,44.20721803,-122.1194501,259.55,91257.42,0,0.0051055,8.1,10/5/21 11:00,1.63E+12,0,1.92,3.88,4.329064564,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,A20211005_1200,44.20721803,-122.1194501,234.99,91235.77,0,0.0049858,7.630039063,10/5/21 12:00,1.63E+12,0,2.04,3.86,4.365913421,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,A20211005_1300,44.20721803,-122.1194501,235,91300.5,0,0.0043227,8.14,10/5/21 13:00,1.63E+12,0,2.1,3.77,4.315425819,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,A20211005_1400,44.20721803,-122.1194501,235,91365.04,0,0.0036595,8.65,10/5/21 14:00,1.63E+12,0,2.16,3.68,4.267083313,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,A20211005_1500,44.20721803,-122.1194501,304.02,91429.58,103.639,0.0029971,9.16,10/5/21 15:00,1.63E+12,0,2.21,3.59,4.215708719,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,A20211005_1600,44.20721803,-122.1194501,303.93,91413.95,228.738,0.0033735,11.03,10/5/21 16:00,1.63E+12,0,2.85,3.57,4.568084938,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,A20211005_1700,44.20721803,-122.1194501,303.85,91398.84,335.59,0.0037495,12.9,10/5/21 17:00,1.63E+12,0,3.49,3.56,4.985348533,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,A20211005_1800,44.20721803,-122.1194501,343.85,91383.74,312.914,0.0041242,14.77,10/5/21 18:00,1.63E+12,0,4.12,3.55,5.438464857,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,A20211005_1900,44.20721803,-122.1194501,343.83,91407.82,359.321,0.0046947,14.82,10/5/21 19:00,1.63E+12,8.00E-04,3.57,3.14,4.754418997,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,A20211005_2000,44.20721803,-122.1194501,343.81,91432,376.693,0.0052648,14.87,10/5/21 20:00,1.63E+12,8.00E-04,3.02,2.73,4.07103181,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,A20211005_2100,44.20721803,-122.1194501,364.06,91455.54,240.222,0.005835,14.92,10/5/21 21:00,1.63E+12,8.00E-04,2.47,2.33,3.395555919,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,A20211005_2200,44.20721803,-122.1194501,364.07,91487.68,204.56,0.0061515,14.4,10/5/21 22:00,1.63E+12,8.00E-04,2.71,1.7,3.199077992,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,A20211005_2300,44.20721803,-122.1194501,364.09,91519.72,157.304,0.0064682,13.88003906,10/5/21 23:00,1.63E+12,8.00E-04,2.94,1.07,3.128657859,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,A20211006_0000,44.20721803,-122.1194501,326.21,91551.22,112.688,0.0067853,13.36,10/6/21 0:00,1.63E+12,8.00E-04,3.18,0.44,3.210295937,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,A20211006_0100,44.20721803,-122.1194501,326.29,91597.6,44.944,0.0066378,11.40003906,10/6/21 1:00,1.63E+12,0,2.94,0.14,2.943331446,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,A20211006_0200,44.20721803,-122.1194501,326.37,91643.88,0,0.0064899,9.43,10/6/21 2:00,1.63E+12,1.6768,2.69,-0.17,2.695366394,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,A20211006_0300,44.20721803,-122.1194501,323.46,91690.7,0,0.0063418,7.47,10/6/21 3:00,1.63E+12,0.8476,2.45,-0.47,2.494674327,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,A20211006_0400,44.20721803,-122.1194501,323.46,91729.28,0,0.0063347,7.39,10/6/21 4:00,1.63E+12,0.0908,2.29,-0.41,2.326413549,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,A20211006_0500,44.20721803,-122.1194501,323.47,91767.22,0,0.0063269,7.31,10/6/21 5:00,1.63E+12,1.3608,2.13,-0.35,2.158564338,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,A20211006_0600,44.20721803,-122.1194501,335.06,91805.7,0,0.0063195,7.24,10/6/21 6:00,1.63E+12,0.0228,1.96,-0.29,1.981337932,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,A20211006_0700,44.20721803,-122.1194501,335.08,91831.36,0,0.006145,6.99,10/6/21 7:00,1.63E+12,0.0568,1.82,-0.22,1.833248483,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,A20211006_0800,44.20721803,-122.1194501,335.09,91857.02,0,0.0059709,6.73,10/6/21 8:00,1.63E+12,0.0536,1.68,-0.15,1.686683136,"{""type"":""MultiPoint"",""coordinates"":[]}"
